,,,,,,,,,,,,,,,,,
Main Stat,,,,Determination,,,Direct Hit,,,Critical Hit,,,,Skill Speed,,,
1600,7.05,,,,,,2490,60.5%,,,,,,,,#VALUE!,#VALUE!
1602,7.06,,,,,,2494,60.6%,,,,,,,,#VALUE!,#VALUE!
1604,7.07,,,,,,2497,60.7%,,,,,,,,#VALUE!,#VALUE!
1606,7.08,,,,,,2501,60.8%,,,,,,,,#VALUE!,#VALUE!
1608,7.09,,,,,,2504,60.9%,,,,,,,,#VALUE!,#VALUE!
1610,7.1,,,,,,2508,61.0%,,,,,,,,#VALUE!,#VALUE!
1612,7.11,,,,,,2511,61.1%,,,,,,,,#VALUE!,#VALUE!
1614,7.12,,,,,,2515,61.2%,,,,,,,,#VALUE!,#VALUE!
1616,7.13,,,,,,2518,61.3%,,,,,,,,#VALUE!,#VALUE!
1618,7.14,,,,,,2522,61.4%,,,,,,,,#VALUE!,#VALUE!
1620,7.15,,,,,,2525,61.5%,,,,,,,,#VALUE!,#VALUE!
1622,7.16,,,,,,2528,61.6%,,,,,,,,#VALUE!,#VALUE!
1624,7.17,,,,,,2532,61.7%,,,,,,,,#VALUE!,#VALUE!
1626,7.18,,,,,,2535,61.8%,,,,,,,,#VALUE!,#VALUE!
1628,7.19,,,,,,2539,61.9%,,,,,,,,#VALUE!,#VALUE!
1630,7.2,,,,,,2542,62.0%,,,,,,,,#VALUE!,#VALUE!
1632,7.21,,,,,,2546,62.1%,,,,,,,,#VALUE!,#VALUE!
1634,7.22,,,,,,2549,62.2%,,,,,,,,#VALUE!,#VALUE!
1636,7.23,,,,,,2553,62.3%,,,,,,,,#VALUE!,#VALUE!
1638,7.24,,,,,,2556,62.4%,,,,,,,,#VALUE!,#VALUE!
1640,7.25,,,,,,2560,62.5%,,,,,,,,#VALUE!,#VALUE!
1642,7.26,,,,,,2563,62.6%,,,,,,,,#VALUE!,#VALUE!
1644,7.27,,,,,,2566,62.7%,,,,,,,,#VALUE!,#VALUE!
1646,7.28,,,,,,2570,62.8%,,,,,,,,#VALUE!,#VALUE!
1648,7.29,,,,,,2573,62.9%,,,,,,,,#VALUE!,#VALUE!
1650,7.3,,,,,,2577,63.0%,,,,,,,,#VALUE!,#VALUE!
1652,7.31,,,,,,2580,63.1%,,,,,,,,#VALUE!,#VALUE!
1654,7.32,,,,,,2584,63.2%,,,,,,,,#VALUE!,#VALUE!
1656,7.33,,,,,,2587,63.3%,,,,,,,,#VALUE!,#VALUE!
1658,7.34,,,,,,2591,63.4%,,,,,,,,#VALUE!,#VALUE!
1660,7.35,,,,,,2594,63.5%,,,,,,,,#VALUE!,#VALUE!
1662,7.36,,,,,,2598,63.6%,,,,,,,,#VALUE!,#VALUE!
1664,7.37,,,,,,2601,63.7%,,,,,,,,#VALUE!,#VALUE!
1666,7.38,,,,,,2604,63.8%,,,,,,,,#VALUE!,#VALUE!
1668,7.39,,,,,,2608,63.9%,,,,,,,,#VALUE!,#VALUE!
1670,7.4,,,,,,2611,64.0%,,,,,,,,#VALUE!,#VALUE!
1672,7.41,,,,,,2615,64.1%,,,,,,,,#VALUE!,#VALUE!
1674,7.42,,,,,,2618,64.2%,,,,,,,,#VALUE!,#VALUE!
1676,7.43,,,,,,2622,64.3%,,,,,,,,#VALUE!,#VALUE!
1678,7.44,,,,,,2625,64.4%,,,,,,,,#VALUE!,#VALUE!
1680,7.45,,,,,,2629,64.5%,,,,,,,,#VALUE!,#VALUE!
1682,7.46,,,,,,2632,64.6%,,,,,,,,#VALUE!,#VALUE!
1684,7.47,,,,,,2636,64.7%,,,,,,,,#VALUE!,#VALUE!
1686,7.48,,,,,,2639,64.8%,,,,,,,,#VALUE!,#VALUE!
1688,7.49,,,,,,2642,64.9%,,,,,,,,#VALUE!,#VALUE!
1690,7.5,,,,,,2646,65.0%,,,,,,,,#VALUE!,#VALUE!
1692,7.51,,,,,,2649,65.1%,,,,,,,,#VALUE!,#VALUE!
1694,7.52,,,,,,2653,65.2%,,,,,,,,#VALUE!,#VALUE!
1696,7.53,,,,,,2656,65.3%,,,,,,,,#VALUE!,#VALUE!
1698,7.54,,,,,,2660,65.4%,,,,,,,,#VALUE!,#VALUE!
1700,7.55,,,,,,2663,65.5%,,,,,,,,#VALUE!,#VALUE!
1702,7.56,,,,,,2667,65.6%,,,,,,,,#VALUE!,#VALUE!
1704,7.57,,,,,,2670,65.7%,,,,,,,,#VALUE!,#VALUE!
1706,7.58,,,,,,2674,65.8%,,,,,,,,#VALUE!,#VALUE!
1708,7.59,,,,,,2677,65.9%,,,,,,,,#VALUE!,#VALUE!
1710,7.6,,,,,,2680,66.0%,,,,,,,,#VALUE!,#VALUE!
1712,7.61,,,,,,2684,66.1%,,,,,,,,#VALUE!,#VALUE!
1714,7.62,,,,,,2687,66.2%,,,,,,,,#VALUE!,#VALUE!
1716,7.63,,,,,,2691,66.3%,,,,,,,,#VALUE!,#VALUE!
1718,7.64,,,,,,2694,66.4%,,,,,,,,#VALUE!,#VALUE!
1720,7.65,,,,,,2698,66.5%,,,,,,,,#VALUE!,#VALUE!
1722,7.66,,,,,,2701,66.6%,,,,,,,,#VALUE!,#VALUE!
1724,7.67,,,,,,2705,66.7%,,,,,,,,#VALUE!,#VALUE!
1726,7.68,,,,,,2708,66.8%,,,,,,,,#VALUE!,#VALUE!
1728,7.69,,,,,,2712,66.9%,,,,,,,,#VALUE!,#VALUE!
1730,7.7,,,,,,2715,67.0%,,,,,,,,#VALUE!,#VALUE!
1732,7.71,,,,,,2718,67.1%,,,,,,,,#VALUE!,#VALUE!
1734,7.72,,,,,,2722,67.2%,,,,,,,,#VALUE!,#VALUE!
1736,7.73,,,,,,2725,67.3%,,,,,,,,#VALUE!,#VALUE!
1738,7.74,,,,,,2729,67.4%,,,,,,,,#VALUE!,#VALUE!
1740,7.75,,,,,,2732,67.5%,,,,,,,,#VALUE!,#VALUE!
1742,7.76,,,,,,2736,67.6%,,,,,,,,#VALUE!,#VALUE!
1744,7.77,,,,,,2739,67.7%,,,,,,,,#VALUE!,#VALUE!
1746,7.78,,,,,,2743,67.8%,,,,,,,,#VALUE!,#VALUE!
1748,7.79,,,,,,2746,67.9%,,,,,,,,#VALUE!,#VALUE!
1750,7.8,,,,,,2750,68.0%,,,,,,,,#VALUE!,#VALUE!
1752,7.81,,,,,,2753,68.1%,,,,,,,,#VALUE!,#VALUE!
1754,7.82,,,,,,2756,68.2%,,,,,,,,#VALUE!,#VALUE!
1756,7.83,,,,,,2760,68.3%,,,,,,,,#VALUE!,#VALUE!
1758,7.84,,,,,,2763,68.4%,,,,,,,,#VALUE!,#VALUE!
1760,7.85,,,,,,2767,68.5%,,,,,,,,#VALUE!,#VALUE!
1762,7.86,,,,,,2770,68.6%,,,,,,,,#VALUE!,#VALUE!
1764,7.87,,,,,,2774,68.7%,,,,,,,,#VALUE!,#VALUE!
1766,7.88,,,,,,2777,68.8%,,,,,,,,#VALUE!,#VALUE!
1768,7.89,,,,,,2781,68.9%,,,,,,,,#VALUE!,#VALUE!
1770,7.9,,,,,,2784,69.0%,,,,,,,,#VALUE!,#VALUE!
1772,7.91,,,,,,2788,69.1%,,,,,,,,#VALUE!,#VALUE!
1774,7.92,,,,,,2791,69.2%,,,,,,,,#VALUE!,#VALUE!
1776,7.93,,,,,,2794,69.3%,,,,,,,,#VALUE!,#VALUE!
1778,7.94,,,,,,2798,69.4%,,,,,,,,#VALUE!,#VALUE!
1780,7.95,,,,,,2801,69.5%,,,,,,,,#VALUE!,#VALUE!
1782,7.96,,,,,,2805,69.6%,,,,,,,,#VALUE!,#VALUE!
1784,7.97,,,,,,2808,69.7%,,,,,,,,#VALUE!,#VALUE!
1786,7.98,,,,,,2812,69.8%,,,,,,,,#VALUE!,#VALUE!
1788,7.99,,,,,,2815,69.9%,,,,,,,,#VALUE!,#VALUE!
1790,8,,,,,,2819,70.0%,,,,,,,,#VALUE!,#VALUE!
1792,8.01,,,,,,2822,70.1%,,,,,,,,#VALUE!,#VALUE!
1794,8.02,,,,,,2826,70.2%,,,,,,,,#VALUE!,#VALUE!
1796,8.03,,,,,,2829,70.3%,,,,,,,,#VALUE!,#VALUE!
1798,8.04,,,,,,2832,70.4%,,,,,,,,#VALUE!,#VALUE!
1800,8.05,,,,,,2836,70.5%,,,,,,,,#VALUE!,#VALUE!
1802,8.06,,,,,,2839,70.6%,,,,,,,,#VALUE!,#VALUE!
1804,8.07,,,,,,2843,70.7%,,,,,,,,#VALUE!,#VALUE!
1806,8.08,,,,,,2846,70.8%,,,,,,,,#VALUE!,#VALUE!
1808,8.09,,,,,,2850,70.9%,,,,,,,,#VALUE!,#VALUE!
1810,8.1,,,,,,2853,71.0%,,,,,,,,#VALUE!,#VALUE!
1812,8.11,,,,,,2857,71.1%,,,,,,,,#VALUE!,#VALUE!
1814,8.12,,,,,,2860,71.2%,,,,,,,,#VALUE!,#VALUE!
1816,8.13,,,,,,2864,71.3%,,,,,,,,#VALUE!,#VALUE!
1818,8.14,,,,,,2867,71.4%,,,,,,,,#VALUE!,#VALUE!
1820,8.15,,,,,,2870,71.5%,,,,,,,,#VALUE!,#VALUE!
1822,8.16,,,,,,2874,71.6%,,,,,,,,#VALUE!,#VALUE!
1824,8.17,,,,,,2877,71.7%,,,,,,,,#VALUE!,#VALUE!
1826,8.18,,,,,,2881,71.8%,,,,,,,,#VALUE!,#VALUE!
1828,8.19,,,,,,2884,71.9%,,,,,,,,#VALUE!,#VALUE!
1830,8.2,,,,,,2888,72.0%,,,,,,,,#VALUE!,#VALUE!
1832,8.21,,,,,,2891,72.1%,,,,,,,,#VALUE!,#VALUE!
1834,8.22,,,,,,2895,72.2%,,,,,,,,#VALUE!,#VALUE!
1836,8.23,,,,,,2898,72.3%,,,,,,,,#VALUE!,#VALUE!
1838,8.24,,,,,,2902,72.4%,,,,,,,,#VALUE!,#VALUE!
1840,8.25,,,,,,2905,72.5%,,,,,,,,#VALUE!,#VALUE!
1842,8.26,,,,,,2908,72.6%,,,,,,,,#VALUE!,#VALUE!
1844,8.27,,,,,,2912,72.7%,,,,,,,,#VALUE!,#VALUE!
1846,8.28,,,,,,2915,72.8%,,,,,,,,#VALUE!,#VALUE!
1848,8.29,,,,,,2919,72.9%,,,,,,,,#VALUE!,#VALUE!
1850,8.3,,,,,,2922,73.0%,,,,,,,,#VALUE!,#VALUE!
1852,8.31,,,,,,2926,73.1%,,,,,,,,#VALUE!,#VALUE!
1854,8.32,,,,,,2929,73.2%,,,,,,,,#VALUE!,#VALUE!
1856,8.33,,,,,,2933,73.3%,,,,,,,,#VALUE!,#VALUE!
1858,8.34,,,,,,2936,73.4%,,,,,,,,#VALUE!,#VALUE!
1860,8.35,,,,,,2940,73.5%,,,,,,,,#VALUE!,#VALUE!
1862,8.36,,,,,,2943,73.6%,,,,,,,,#VALUE!,#VALUE!
1864,8.37,,,,,,2946,73.7%,,,,,,,,#VALUE!,#VALUE!
1866,8.38,,,,,,2950,73.8%,,,,,,,,#VALUE!,#VALUE!
1868,8.39,,,,,,2953,73.9%,,,,,,,,#VALUE!,#VALUE!
1870,8.4,,,,,,2957,74.0%,,,,,,,,#VALUE!,#VALUE!
1872,8.41,,,,,,2960,74.1%,,,,,,,,#VALUE!,#VALUE!
1874,8.42,,,,,,2964,74.2%,,,,,,,,#VALUE!,#VALUE!
1876,8.43,,,,,,2967,74.3%,,,,,,,,#VALUE!,#VALUE!
1878,8.44,,,,,,2971,74.4%,,,,,,,,#VALUE!,#VALUE!
1880,8.45,,,,,,2974,74.5%,,,,,,,,#VALUE!,#VALUE!
1882,8.46,,,,,,2978,74.6%,,,,,,,,#VALUE!,#VALUE!
1884,8.47,,,,,,2981,74.7%,,,,,,,,#VALUE!,#VALUE!
1886,8.48,,,,,,2984,74.8%,,,,,,,,#VALUE!,#VALUE!
1888,8.49,,,,,,2988,74.9%,,,,,,,,#VALUE!,#VALUE!
1890,8.5,,,,,,2991,75.0%,,,,,,,,#VALUE!,#VALUE!
1892,8.51,,,,,,2995,75.1%,,,,,,,,#VALUE!,#VALUE!
1894,8.52,,,,,,2998,75.2%,,,,,,,,#VALUE!,#VALUE!
1896,8.53,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1898,8.54,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1900,8.55,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1902,8.56,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1904,8.57,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1906,8.58,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1908,8.59,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1910,8.6,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1912,8.61,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1914,8.62,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1916,8.63,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1918,8.64,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1920,8.65,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1922,8.66,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1924,8.67,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1926,8.68,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1928,8.69,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1930,8.7,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1932,8.71,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1934,8.72,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1936,8.73,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1938,8.74,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1940,8.75,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1942,8.76,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1944,8.77,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1946,8.78,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1948,8.79,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1950,8.8,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1952,8.81,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1954,8.82,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1956,8.83,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1958,8.84,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1960,8.85,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1962,8.86,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1964,8.87,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1966,8.88,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1968,8.89,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1970,8.9,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1972,8.91,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1974,8.92,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1976,8.93,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1978,8.94,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1980,8.95,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1982,8.96,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1984,8.97,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1986,8.98,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1988,8.99,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1990,9,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1992,9.01,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1994,9.02,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1996,9.03,,,,,,,,,,,,,,,#VALUE!,#VALUE!
1998,9.04,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2000,9.05,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2002,9.06,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2004,9.07,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2006,9.08,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2008,9.09,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2010,9.1,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2012,9.11,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2014,9.12,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2016,9.13,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2018,9.14,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2020,9.15,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2022,9.16,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2024,9.17,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2026,9.18,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2028,9.19,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2030,9.2,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2032,9.21,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2034,9.22,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2036,9.23,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2038,9.24,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2040,9.25,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2042,9.26,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2044,9.27,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2046,9.28,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2048,9.29,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2050,9.3,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2052,9.31,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2054,9.32,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2056,9.33,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2058,9.34,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2060,9.35,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2062,9.36,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2064,9.37,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2066,9.38,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2068,9.39,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2070,9.4,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2072,9.41,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2074,9.42,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2076,9.43,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2078,9.44,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2080,9.45,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2082,9.46,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2084,9.47,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2086,9.48,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2088,9.49,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2090,9.5,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2092,9.51,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2094,9.52,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2096,9.53,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2098,9.54,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2100,9.55,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2102,9.56,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2104,9.57,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2106,9.58,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2108,9.59,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2110,9.6,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2112,9.61,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2114,9.62,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2116,9.63,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2118,9.64,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2120,9.65,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2122,9.66,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2124,9.67,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2126,9.68,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2128,9.69,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2130,9.7,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2132,9.71,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2134,9.72,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2136,9.73,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2138,9.74,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2140,9.75,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2142,9.76,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2144,9.77,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2146,9.78,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2148,9.79,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2150,9.8,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2152,9.81,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2154,9.82,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2156,9.83,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2158,9.84,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2160,9.85,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2162,9.86,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2164,9.87,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2166,9.88,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2168,9.89,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2170,9.9,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2172,9.91,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2174,9.92,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2176,9.93,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2178,9.94,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2180,9.95,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2182,9.96,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2184,9.97,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2186,9.98,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2188,9.99,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2190,10,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2192,10.01,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2194,10.02,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2196,10.03,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2198,10.04,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2200,10.05,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2202,10.06,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2204,10.07,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2206,10.08,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2208,10.09,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2210,10.1,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2212,10.11,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2214,10.12,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2216,10.13,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2218,10.14,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2220,10.15,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2222,10.16,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2224,10.17,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2226,10.18,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2228,10.19,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2230,10.2,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2232,10.21,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2234,10.22,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2236,10.23,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2238,10.24,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2240,10.25,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2242,10.26,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2244,10.27,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2246,10.28,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2248,10.29,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2250,10.3,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2252,10.31,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2254,10.32,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2256,10.33,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2258,10.34,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2260,10.35,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2262,10.36,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2264,10.37,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2266,10.38,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2268,10.39,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2270,10.4,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2272,10.41,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2274,10.42,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2276,10.43,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2278,10.44,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2280,10.45,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2282,10.46,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2284,10.47,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2286,10.48,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2288,10.49,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2290,10.5,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2292,10.51,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2294,10.52,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2296,10.53,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2298,10.54,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2300,10.55,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2302,10.56,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2304,10.57,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2306,10.58,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2308,10.59,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2310,10.6,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2312,10.61,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2314,10.62,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2316,10.63,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2318,10.64,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2320,10.65,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2322,10.66,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2324,10.67,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2326,10.68,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2328,10.69,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2330,10.7,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2332,10.71,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2334,10.72,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2336,10.73,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2338,10.74,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2340,10.75,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2342,10.76,,,,,,,,,,,,,,,#VALUE!,#VALUE!
2344,10.77,,,,,,,,,,,,,,,#VALUE!,#VALUE!
